Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
Total Intermodal Units,"282,090",3.2%,"282,090",3.2%,3.2%,North_american,2019-01-09
Total Traffic,"595,448",5.4%,"595,448",5.4%,5.4%,North_american,2019-01-09
Total Carloads,"266,240",10.3%,"266,240",10.3%,8.4%,U.S,2019-01-16
Chemicals,"32,931",3.3%,"32,931",3.3%,4.5%,U.S,2019-01-16
Coal,"87,228",14.8%,"87,228",14.8%,8.2%,U.S,2019-01-16
"Farm Products excl. Grain, and Food","16,414",3.3%,"16,414",3.3%,7.5%,U.S,2019-01-16
Forest Products,"10,281",5.3%,"10,281",5.3%,7.8%,U.S,2019-01-16
Grain,"24,682",12.8%,"24,682",12.8%,8.6%,U.S,2019-01-16
Metallic Ores and Metals,"24,490",19.3%,"24,490",19.3%,16.6%,U.S,2019-01-16
Motor Vehicles and Parts,"15,569",2.4%,"15,569",2.4%,-3.5%,U.S,2019-01-16
Nonmetallic Minerals,"30,813",0.9%,"30,813",0.9%,7.8%,U.S,2019-01-16
Petroleum and Petroleum Products,"13,925",26.5%,"13,925",26.5%,25.8%,U.S,2019-01-16
Other,"9,907",14.0%,"9,907",14.0%,5.7%,U.S,2019-01-16
Total Intermodal Units,"288,887",6.8%,"288,887",6.8%,5.3%,U.S,2019-01-16
Total Traffic,"555,127",8.4%,"555,127",8.4%,6.8%,U.S,2019-01-16
Total Carloads,"84,517",13.3%,"84,517",13.3%,13.8%,Canadian,2019-01-16
Chemicals,"13,332",11.2%,"13,332",11.2%,13.2%,Canadian,2019-01-16
Coal,"7,777",19.0%,"7,777",19.0%,18.6%,Canadian,2019-01-16
"Farm Products excl. Grain, and Food","6,977",12.0%,"6,977",12.0%,6.8%,Canadian,2019-01-16
Forest Products,"7,018",0.1%,"7,018",0.1%,-5.4%,Canadian,2019-01-16
Grain,"8,054",9.4%,"8,054",9.4%,10.3%,Canadian,2019-01-16
Metallic Ores and Metals,"16,074",7.6%,"16,074",7.6%,16.8%,Canadian,2019-01-16
Motor Vehicles and Parts,"5,391",11.3%,"5,391",11.3%,10.0%,Canadian,2019-01-16
Nonmetallic Minerals,"6,956",5.2%,"6,956",5.2%,-2.4%,Canadian,2019-01-16
Petroleum and Petroleum Products,"11,329",42.3%,"11,329",42.3%,47.0%,Canadian,2019-01-16
Other,"1,609",43.1%,"1,609",43.1%,5.6%,Canadian,2019-01-16
Total Intermodal Units,"72,357",14.2%,"72,357",14.2%,9.3%,Canadian,2019-01-16
Total Traffic,"156,874",13.7%,"156,874",13.7%,11.8%,Canadian,2019-01-16
Total Carloads,"19,718",-5.6%,"19,718",-5.6%,-5.7%,Mexican,2019-01-16
Chemicals,"1,029",15.7%,"1,029",15.7%,0.2%,Mexican,2019-01-16
Coal,186,28.3%,186,28.3%,24.7%,Mexican,2019-01-16
"Farm Products excl. Grain, and Food","1,904",-13.5%,"1,904",-13.5%,-17.9%,Mexican,2019-01-16
Forest Products,17,-66.7%,17,-66.7%,-68.5%,Mexican,2019-01-16
Grain,"2,484",13.8%,"2,484",13.8%,14.3%,Mexican,2019-01-16
Metallic Ores and Metals,"4,496",-7.6%,"4,496",-7.6%,-5.7%,Mexican,2019-01-16
Motor Vehicles and Parts,"3,490",-7.0%,"3,490",-7.0%,-13.5%,Mexican,2019-01-16
Nonmetallic Minerals,"3,899",-8.4%,"3,899",-8.4%,-1.5%,Mexican,2019-01-16
Petroleum and Petroleum Products,"1,171",-11.0%,"1,171",-11.0%,-16.7%,Mexican,2019-01-16
Other,"1,042",-14.4%,"1,042",-14.4%,-3.4%,Mexican,2019-01-16
Total Intermodal Units,"18,726",-1.0%,"18,726",-1.0%,-1.2%,Mexican,2019-01-16
Total Traffic,"38,444",-3.4%,"38,444",-3.4%,-3.6%,Mexican,2019-01-16
Total Carloads,"370,475",10.0%,"370,475",10.0%,8.8%,North_american,2019-01-16
Chemicals,"47,292",5.6%,"47,292",5.6%,6.7%,North_american,2019-01-16
Coal,"95,191",15.1%,"95,191",15.1%,9.1%,North_american,2019-01-16
"Farm Products excl. Grain, and Food","25,295",4.0%,"25,295",4.0%,5.2%,North_american,2019-01-16
Forest Products,"17,316",2.9%,"17,316",2.9%,2.1%,North_american,2019-01-16
Grain,"35,220",12.1%,"35,220",12.1%,9.4%,North_american,2019-01-16
Metallic Ores and Metals,"45,060",11.7%,"45,060",11.7%,14.1%,North_american,2019-01-16
Motor Vehicles and Parts,"24,450",2.7%,"24,450",2.7%,-2.3%,North_american,2019-01-16
Nonmetallic Minerals,"41,668",0.6%,"41,668",0.6%,5.1%,North_american,2019-01-16
Petroleum and Petroleum Products,"26,425",30.3%,"26,425",30.3%,31.6%,North_american,2019-01-16
Other,"12,558",13.8%,"12,558",13.8%,4.9%,North_american,2019-01-16
Total Intermodal Units,"379,970",7.7%,"379,970",7.7%,5.7%,North_american,2019-01-16
Total Traffic,"750,445",8.8%,"750,445",8.8%,7.3%,North_american,2019-01-16
Total Carloads,"258,833",7.4%,"258,833",7.4%,8.1%,U.S,2019-01-23
Chemicals,"31,827",6.3%,"31,827",6.3%,5.1%,U.S,2019-01-23
Coal,"87,906",6.7%,"87,906",6.7%,7.7%,U.S,2019-01-23
"Farm Products excl. Grain, and Food","15,357",-2.4%,"15,357",-2.4%,4.1%,U.S,2019-01-23
Forest Products,"10,673",4.4%,"10,673",4.4%,6.6%,U.S,2019-01-23
Grain,"22,913",-1.8%,"22,913",-1.8%,4.9%,U.S,2019-01-23
Metallic Ores and Metals,"20,697",7.3%,"20,697",7.3%,13.6%,U.S,2019-01-23
Motor Vehicles and Parts,"16,422",12.8%,"16,422",12.8%,2.4%,U.S,2019-01-23
Nonmetallic Minerals,"29,994",13.7%,"29,994",13.7%,9.8%,U.S,2019-01-23
Petroleum and Petroleum Products,"13,710",29.8%,"13,710",29.8%,27.2%,U.S,2019-01-23
Other,"9,334",7.7%,"9,334",7.7%,6.4%,U.S,2019-01-23
Total Intermodal Units,"284,278",6.5%,"284,278",6.5%,5.7%,U.S,2019-01-23
Total Traffic,"543,111",6.9%,"543,111",6.9%,6.9%,U.S,2019-01-23
Total Carloads,"84,670",10.6%,"84,670",10.6%,12.7%,Canadian,2019-01-23
Chemicals,"12,754",12.2%,"12,754",12.2%,12.9%,Canadian,2019-01-23
Coal,"8,043",9.5%,"8,043",9.5%,15.3%,Canadian,2019-01-23
"Farm Products excl. Grain, and Food","7,425",4.4%,"7,425",4.4%,6.0%,Canadian,2019-01-23
Forest Products,"7,752",12.1%,"7,752",12.1%,0.7%,Canadian,2019-01-23
Grain,"8,945",-2.6%,"8,945",-2.6%,5.2%,Canadian,2019-01-23
Metallic Ores and Metals,"15,508",15.0%,"15,508",15.0%,16.2%,Canadian,2019-01-23
Motor Vehicles and Parts,"5,788",22.4%,"5,788",22.4%,14.5%,Canadian,2019-01-23
Nonmetallic Minerals,"6,196",-12.5%,"6,196",-12.5%,-6.1%,Canadian,2019-01-23
Petroleum and Petroleum Products,"10,859",33.8%,"10,859",33.8%,42.5%,Canadian,2019-01-23
Other,"1,400",14.4%,"1,400",14.4%,8.4%,Canadian,2019-01-23
Total Intermodal Units,"71,008",8.8%,"71,008",8.8%,9.1%,Canadian,2019-01-23
Total Traffic,"155,678",9.8%,"155,678",9.8%,11.1%,Canadian,2019-01-23
Total Carloads,"18,381",-10.7%,"18,381",-10.7%,-7.5%,Mexican,2019-01-23
Chemicals,950,-8.2%,950,-8.2%,-2.9%,Mexican,2019-01-23
Coal,133,-26.5%,133,-26.5%,5.4%,Mexican,2019-01-23
"Farm Products excl. Grain, and Food","1,554",-22.9%,"1,554",-22.9%,-19.6%,Mexican,2019-01-23
Forest Products,34,-26.1%,34,-26.1%,-54.3%,Mexican,2019-01-23
Grain,"2,007",-11.6%,"2,007",-11.6%,4.6%,Mexican,2019-01-23
Metallic Ores and Metals,"4,361",-3.6%,"4,361",-3.6%,-5.0%,Mexican,2019-01-23
Motor Vehicles and Parts,"4,124",1.4%,"4,124",1.4%,-7.7%,Mexican,2019-01-23
Nonmetallic Minerals,"3,792",-7.7%,"3,792",-7.7%,-3.7%,Mexican,2019-01-23
Petroleum and Petroleum Products,438,-65.9%,438,-65.9%,-33.4%,Mexican,2019-01-23
Other,988,-5.5%,988,-5.5%,-4.2%,Mexican,2019-01-23
Total Intermodal Units,"17,595",-5.9%,"17,595",-5.9%,-2.9%,Mexican,2019-01-23
Total Traffic,"35,976",-8.4%,"35,976",-8.4%,-5.3%,Mexican,2019-01-23
Total Carloads,"361,884",7.0%,"361,884",7.0%,8.2%,North_american,2019-01-23
Chemicals,"45,531",7.5%,"45,531",7.5%,7.0%,North_american,2019-01-23
Coal,"96,082",6.9%,"96,082",6.9%,8.3%,North_american,2019-01-23
"Farm Products excl. Grain, and Food","24,336",-2.1%,"24,336",-2.1%,2.7%,North_american,2019-01-23
Forest Products,"18,459",7.5%,"18,459",7.5%,4.0%,North_american,2019-01-23
Grain,"33,865",-2.6%,"33,865",-2.6%,5.0%,North_american,2019-01-23
Metallic Ores and Metals,"40,566",8.8%,"40,566",8.8%,12.3%,North_american,2019-01-23
Motor Vehicles and Parts,"26,334",12.8%,"26,334",12.8%,3.2%,North_american,2019-01-23
Nonmetallic Minerals,"39,982",6.4%,"39,982",6.4%,5.5%,North_american,2019-01-23
Petroleum and Petroleum Products,"25,007",25.3%,"25,007",25.3%,29.4%,North_american,2019-01-23
Other,"11,722",7.2%,"11,722",7.2%,5.7%,North_american,2019-01-23
Total Intermodal Units,"372,881",6.2%,"372,881",6.2%,5.9%,North_american,2019-01-23
Total Traffic,"734,765",6.6%,"734,765",6.6%,7.0%,North_american,2019-01-23
Total Carloads,"248,937",-4.7%,"248,937",-4.7%,4.6%,U.S,2019-01-30
Chemicals,"31,190",1.0%,"31,190",1.0%,4.0%,U.S,2019-01-30
Coal,"82,471",-5.1%,"82,471",-5.1%,4.2%,U.S,2019-01-30
"Farm Products excl. Grain, and Food","15,954",0.0%,"15,954",0.0%,3.0%,U.S,2019-01-30
Forest Products,"10,237",-4.1%,"10,237",-4.1%,3.7%,U.S,2019-01-30
Grain,"21,436",-4.9%,"21,436",-4.9%,2.4%,U.S,2019-01-30
Metallic Ores and Metals,"19,878",-7.4%,"19,878",-7.4%,8.0%,U.S,2019-01-30
Motor Vehicles and Parts,"15,726",-11.2%,"15,726",-11.2%,-1.8%,U.S,2019-01-30
Nonmetallic Minerals,"30,172",-7.7%,"30,172",-7.7%,4.6%,U.S,2019-01-30
Petroleum and Petroleum Products,"13,627",18.4%,"13,627",18.4%,24.8%,U.S,2019-01-30
Other,"8,246",-24.6%,"8,246",-24.6%,-3.1%,U.S,2019-01-30
Total Intermodal Units,"273,089",-3.3%,"273,089",-3.3%,3.2%,U.S,2019-01-30
Total Traffic,"522,026",-4.0%,"522,026",-4.0%,3.9%,U.S,2019-01-30
Total Carloads,"80,560",2.2%,"80,560",2.2%,9.9%,Canadian,2019-01-30
Chemicals,"12,597",-0.8%,"12,597",-0.8%,9.2%,Canadian,2019-01-30
Coal,"8,689",20.4%,"8,689",20.4%,16.6%,Canadian,2019-01-30
"Farm Products excl. Grain, and Food","7,659",12.5%,"7,659",12.5%,7.6%,Canadian,2019-01-30
Forest Products,"7,355",-1.5%,"7,355",-1.5%,0.1%,Canadian,2019-01-30
Grain,"7,920",8.1%,"7,920",8.1%,5.9%,Canadian,2019-01-30
Metallic Ores and Metals,"14,756",-3.0%,"14,756",-3.0%,11.0%,Canadian,2019-01-30
Motor Vehicles and Parts,"4,551",-14.4%,"4,551",-14.4%,6.1%,Canadian,2019-01-30
Nonmetallic Minerals,"6,202",-13.1%,"6,202",-13.1%,-8.0%,Canadian,2019-01-30
Petroleum and Petroleum Products,"9,697",21.4%,"9,697",21.4%,37.2%,Canadian,2019-01-30
Other,"1,134",-31.1%,"1,134",-31.1%,-3.5%,Canadian,2019-01-30
Total Intermodal Units,"66,650",-1.1%,"66,650",-1.1%,6.3%,Canadian,2019-01-30
Total Traffic,"147,210",0.7%,"147,210",0.7%,8.3%,Canadian,2019-01-30
Total Carloads,"17,644",-19.3%,"17,644",-19.3%,-10.7%,Mexican,2019-01-30
Chemicals,"1,024",-4.7%,"1,024",-4.7%,-3.4%,Mexican,2019-01-30
Coal,157,6.1%,157,6.1%,5.6%,Mexican,2019-01-30
"Farm Products excl. Grain, and Food","1,764",-3.2%,"1,764",-3.2%,-15.7%,Mexican,2019-01-30
Forest Products,15,-55.9%,15,-55.9%,-54.7%,Mexican,2019-01-30
Grain,"1,720",-21.7%,"1,720",-21.7%,-2.4%,Mexican,2019-01-30
Metallic Ores and Metals,"3,908",-13.8%,"3,908",-13.8%,-7.2%,Mexican,2019-01-30
Motor Vehicles and Parts,"3,605",-31.6%,"3,605",-31.6%,-15.7%,Mexican,2019-01-30
Nonmetallic Minerals,"3,571",-16.9%,"3,571",-16.9%,-7.3%,Mexican,2019-01-30
Petroleum and Petroleum Products,813,-35.2%,813,-35.2%,-33.8%,Mexican,2019-01-30
Other,"1,067",-13.0%,"1,067",-13.0%,-6.9%,Mexican,2019-01-30
Total Intermodal Units,"12,641",-31.5%,"12,641",-31.5%,-10.5%,Mexican,2019-01-30
Total Traffic,"30,285",-24.9%,"30,285",-24.9%,-10.6%,Mexican,2019-01-30
Total Carloads,"347,141",-4.1%,"347,141",-4.1%,4.8%,North_american,2019-01-30
Chemicals,"44,811",0.3%,"44,811",0.3%,5.2%,North_american,2019-01-30
Coal,"91,317",-3.1%,"91,317",-3.1%,5.2%,North_american,2019-01-30
"Farm Products excl. Grain, and Food","25,377",3.2%,"25,377",3.2%,2.8%,North_american,2019-01-30
Forest Products,"17,607",-3.1%,"17,607",-3.1%,2.0%,North_american,2019-01-30
Grain,"31,076",-3.1%,"31,076",-3.1%,2.9%,North_american,2019-01-30
Metallic Ores and Metals,"38,542",-6.5%,"38,542",-6.5%,7.3%,North_american,2019-01-30
Motor Vehicles and Parts,"23,882",-15.6%,"23,882",-15.6%,-2.6%,North_american,2019-01-30
Nonmetallic Minerals,"39,945",-9.4%,"39,945",-9.4%,1.2%,North_american,2019-01-30
Petroleum and Petroleum Products,"24,137",16.3%,"24,137",16.3%,26.0%,North_american,2019-01-30
Other,"10,447",-24.4%,"10,447",-24.4%,-3.5%,North_american,2019-01-30
Total Intermodal Units,"352,380",-4.3%,"352,380",-4.3%,3.1%,North_american,2019-01-30
Total Traffic,"699,521",-4.2%,"699,521",-4.2%,4.0%,North_american,2019-01-30
Total Carloads,"242,718",-8.4%,"242,718",-8.4%,1.7%,U.S,2019-02-06
Chemicals,"32,424",-3.0%,"32,424",-3.0%,2.5%,U.S,2019-02-06
Coal,"75,752",-15.6%,"75,752",-15.6%,-0.2%,U.S,2019-02-06
"Farm Products excl. Grain, and Food","14,723",-8.9%,"14,723",-8.9%,0.5%,U.S,2019-02-06
Forest Products,"10,397",-1.6%,"10,397",-1.6%,2.6%,U.S,2019-02-06
Grain,"21,508",-12.9%,"21,508",-12.9%,-1.0%,U.S,2019-02-06
Metallic Ores and Metals,"18,915",-9.4%,"18,915",-9.4%,4.4%,U.S,2019-02-06
Motor Vehicles and Parts,"15,324",-6.1%,"15,324",-6.1%,-2.7%,U.S,2019-02-06
Nonmetallic Minerals,"29,630",-9.3%,"29,630",-9.3%,1.5%,U.S,2019-02-06
Petroleum and Petroleum Products,"12,979",20.3%,"12,979",20.3%,23.9%,U.S,2019-02-06
Other,"11,066",12.7%,"11,066",12.7%,0.3%,U.S,2019-02-06
Total Intermodal Units,"255,570",-9.6%,"255,570",-9.6%,0.5%,U.S,2019-02-06
Total Traffic,"498,288",-9.1%,"498,288",-9.1%,1.1%,U.S,2019-02-06
Total Carloads,"76,671",-2.2%,"76,671",-2.2%,7.4%,Canadian,2019-02-06
Chemicals,"12,647",17.3%,"12,647",17.3%,10.7%,Canadian,2019-02-06
Coal,"8,797",17.2%,"8,797",17.2%,16.8%,Canadian,2019-02-06
"Farm Products excl. Grain, and Food","7,055",4.5%,"7,055",4.5%,7.0%,Canadian,2019-02-06
Forest Products,"6,991",-3.0%,"6,991",-3.0%,-0.5%,Canadian,2019-02-06
Grain,"7,591",-9.4%,"7,591",-9.4%,2.6%,Canadian,2019-02-06
Metallic Ores and Metals,"13,542",-14.1%,"13,542",-14.1%,5.5%,Canadian,2019-02-06
Motor Vehicles and Parts,"4,581",-11.9%,"4,581",-11.9%,2.1%,Canadian,2019-02-06
Nonmetallic Minerals,"5,724",-26.5%,"5,724",-26.5%,-12.2%,Canadian,2019-02-06
Petroleum and Petroleum Products,"8,602",13.7%,"8,602",13.7%,32.6%,Canadian,2019-02-06
Other,"1,141",-21.8%,"1,141",-21.8%,-7.4%,Canadian,2019-02-06
Total Intermodal Units,"62,070",-12.0%,"62,070",-12.0%,2.3%,Canadian,2019-02-06
Total Traffic,"138,741",-6.9%,"138,741",-6.9%,5.0%,Canadian,2019-02-06
Total Carloads,"18,263",-13.1%,"18,263",-13.1%,-11.2%,Mexican,2019-02-06
Chemicals,916,-15.8%,916,-15.8%,-6.1%,Mexican,2019-02-06
Coal,140,-8.5%,140,-8.5%,2.8%,Mexican,2019-02-06
"Farm Products excl. Grain, and Food","1,668",-11.1%,"1,668",-11.1%,-14.8%,Mexican,2019-02-06
Forest Products,16,-40.7%,16,-40.7%,-52.8%,Mexican,2019-02-06
Grain,"2,250",-1.8%,"2,250",-1.8%,-2.2%,Mexican,2019-02-06
Metallic Ores and Metals,"4,283",-3.1%,"4,283",-3.1%,-6.4%,Mexican,2019-02-06
Motor Vehicles and Parts,"3,477",-30.0%,"3,477",-30.0%,-19.1%,Mexican,2019-02-06
Nonmetallic Minerals,"3,886",-6.8%,"3,886",-6.8%,-7.2%,Mexican,2019-02-06
Petroleum and Petroleum Products,743,-34.1%,743,-34.1%,-33.9%,Mexican,2019-02-06
Other,884,-2.3%,884,-2.3%,-6.1%,Mexican,2019-02-06
Total Intermodal Units,"12,229",-28.3%,"12,229",-28.3%,-14.0%,Mexican,2019-02-06
Total Traffic,"30,492",-19.9%,"30,492",-19.9%,-12.5%,Mexican,2019-02-06
Total Carloads,"337,652",-7.4%,"337,652",-7.4%,2.2%,North_american,2019-02-06
Chemicals,"45,987",1.5%,"45,987",1.5%,4.5%,North_american,2019-02-06
Coal,"84,689",-13.0%,"84,689",-13.0%,1.2%,North_american,2019-02-06
"Farm Products excl. Grain, and Food","23,446",-5.4%,"23,446",-5.4%,1.1%,North_american,2019-02-06
Forest Products,"17,404",-2.2%,"17,404",-2.2%,1.2%,North_american,2019-02-06
Grain,"31,349",-11.4%,"31,349",-11.4%,-0.2%,North_american,2019-02-06
Metallic Ores and Metals,"36,740",-10.5%,"36,740",-10.5%,3.6%,North_american,2019-02-06
Motor Vehicles and Parts,"23,382",-11.7%,"23,382",-11.7%,-4.6%,North_american,2019-02-06
Nonmetallic Minerals,"39,240",-12.1%,"39,240",-12.1%,-1.8%,North_american,2019-02-06
Petroleum and Petroleum Products,"22,324",14.6%,"22,324",14.6%,23.8%,North_american,2019-02-06
Other,"13,091",7.4%,"13,091",7.4%,-1.2%,North_american,2019-02-06
Total Intermodal Units,"329,869",-11.0%,"329,869",-11.0%,0.1%,North_american,2019-02-06
Total Traffic,"667,521",-9.2%,"667,521",-9.2%,1.1%,North_american,2019-02-06
Total Carloads,"242,266",-3.3%,"242,266",-3.3%,0.9%,U.S,2019-02-13
Chemicals,"31,785",0.0%,"31,785",0.0%,2.1%,U.S,2019-02-13
Coal,"75,864",-10.7%,"75,864",-10.7%,-2.0%,U.S,2019-02-13
"Farm Products excl. Grain, and Food","15,063",-7.6%,"15,063",-7.6%,-0.9%,U.S,2019-02-13
Forest Products,"9,774",-1.9%,"9,774",-1.9%,1.8%,U.S,2019-02-13
Grain,"20,720",8.9%,"20,720",8.9%,0.4%,U.S,2019-02-13
Metallic Ores and Metals,"19,697",-4.0%,"19,697",-4.0%,3.0%,U.S,2019-02-13
Motor Vehicles and Parts,"17,069",2.2%,"17,069",2.2%,-1.8%,U.S,2019-02-13
Nonmetallic Minerals,"31,067",-1.6%,"31,067",-1.6%,0.9%,U.S,2019-02-13
Petroleum and Petroleum Products,"12,740",23.4%,"12,740",23.4%,23.8%,U.S,2019-02-13
Other,"8,487",-10.2%,"8,487",-10.2%,-1.5%,U.S,2019-02-13
Total Intermodal Units,"277,513",3.4%,"277,513",3.4%,1.0%,U.S,2019-02-13
Total Traffic,"519,779",0.1%,"519,779",0.1%,0.9%,U.S,2019-02-13
Total Carloads,"71,661",-3.0%,"71,661",-3.0%,5.7%,Canadian,2019-02-13
Chemicals,"11,106",-11.0%,"11,106",-11.0%,6.8%,Canadian,2019-02-13
Coal,"7,109",14.8%,"7,109",14.8%,16.5%,Canadian,2019-02-13
"Farm Products excl. Grain, and Food","6,478",0.2%,"6,478",0.2%,5.9%,Canadian,2019-02-13
Forest Products,"6,189",-2.5%,"6,189",-2.5%,-0.8%,Canadian,2019-02-13
Grain,"7,088",-2.3%,"7,088",-2.3%,1.8%,Canadian,2019-02-13
Metallic Ores and Metals,"14,008",-4.3%,"14,008",-4.3%,3.8%,Canadian,2019-02-13
Motor Vehicles and Parts,"5,439",11.2%,"5,439",11.2%,3.7%,Canadian,2019-02-13
Nonmetallic Minerals,"5,518",-16.3%,"5,518",-16.3%,-12.9%,Canadian,2019-02-13
Petroleum and Petroleum Products,"7,174",-7.0%,"7,174",-7.0%,26.1%,Canadian,2019-02-13
Other,"1,552",21.7%,"1,552",21.7%,-2.8%,Canadian,2019-02-13
Total Intermodal Units,"62,207",-1.9%,"62,207",-1.9%,1.6%,Canadian,2019-02-13
Total Traffic,"133,868",-2.5%,"133,868",-2.5%,3.8%,Canadian,2019-02-13
Total Carloads,"17,842",-9.5%,"17,842",-9.5%,-10.9%,Mexican,2019-02-13
Chemicals,919,-8.5%,919,-8.5%,-6.5%,Mexican,2019-02-13
Coal,194,60.3%,194,60.3%,10.5%,Mexican,2019-02-13
"Farm Products excl. Grain, and Food","1,282",-26.8%,"1,282",-26.8%,-16.7%,Mexican,2019-02-13
Forest Products,20,-39.4%,20,-39.4%,-50.9%,Mexican,2019-02-13
Grain,"1,998",-14.5%,"1,998",-14.5%,-4.5%,Mexican,2019-02-13
Metallic Ores and Metals,"3,933",-5.7%,"3,933",-5.7%,-6.3%,Mexican,2019-02-13
Motor Vehicles and Parts,"4,038",-3.8%,"4,038",-3.8%,-16.5%,Mexican,2019-02-13
Nonmetallic Minerals,"3,850",-3.9%,"3,850",-3.9%,-6.6%,Mexican,2019-02-13
Petroleum and Petroleum Products,705,-32.5%,705,-32.5%,-33.7%,Mexican,2019-02-13
Other,903,-14.0%,903,-14.0%,-7.5%,Mexican,2019-02-13
Total Intermodal Units,"15,077",-7.8%,"15,077",-7.8%,-13.0%,Mexican,2019-02-13
Total Traffic,"32,919",-8.7%,"32,919",-8.7%,-11.9%,Mexican,2019-02-13
Total Carloads,"331,769",-3.6%,"331,769",-3.6%,1.2%,North_american,2019-02-13
Chemicals,"43,810",-3.2%,"43,810",-3.2%,3.1%,North_american,2019-02-13
Coal,"83,167",-8.9%,"83,167",-8.9%,-0.6%,North_american,2019-02-13
"Farm Products excl. Grain, and Food","22,823",-6.9%,"22,823",-6.9%,-0.3%,North_american,2019-02-13
Forest Products,"15,983",-2.2%,"15,983",-2.2%,0.6%,North_american,2019-02-13
Grain,"29,806",4.1%,"29,806",4.1%,0.4%,North_american,2019-02-13
Metallic Ores and Metals,"37,638",-4.3%,"37,638",-4.3%,2.2%,North_american,2019-02-13
Motor Vehicles and Parts,"26,546",2.9%,"26,546",2.9%,-3.3%,North_american,2019-02-13
Nonmetallic Minerals,"40,435",-4.1%,"40,435",-4.1%,-2.2%,North_american,2019-02-13
Petroleum and Petroleum Products,"20,619",8.1%,"20,619",8.1%,21.2%,North_american,2019-02-13
Other,"10,942",-7.1%,"10,942",-7.1%,-2.2%,North_american,2019-02-13
Total Intermodal Units,"354,797",1.9%,"354,797",1.9%,0.4%,North_american,2019-02-13
Total Traffic,"686,566",-0.9%,"686,566",-0.9%,0.8%,North_american,2019-02-13
Total Carloads,"250,236",-3.9%,"250,236",-3.9%,0.1%,U.S,2019-02-20
Chemicals,"32,321",-2.4%,"32,321",-2.4%,1.4%,U.S,2019-02-20
Coal,"80,105",-8.9%,"80,105",-8.9%,-3.1%,U.S,2019-02-20
"Farm Products excl. Grain, and Food","15,923",-3.1%,"15,923",-3.1%,-1.3%,U.S,2019-02-20
Forest Products,"9,981",0.3%,"9,981",0.3%,1.6%,U.S,2019-02-20
Grain,"21,303",-0.9%,"21,303",-0.9%,0.2%,U.S,2019-02-20
Metallic Ores and Metals,"20,289",-1.9%,"20,289",-1.9%,2.3%,U.S,2019-02-20
Motor Vehicles and Parts,"16,887",-4.2%,"16,887",-4.2%,-2.2%,U.S,2019-02-20
Nonmetallic Minerals,"32,012",-6.0%,"32,012",-6.0%,-0.2%,U.S,2019-02-20
Petroleum and Petroleum Products,"11,887",17.8%,"11,887",17.8%,23.0%,U.S,2019-02-20
Other,"9,528",5.6%,"9,528",5.6%,-0.5%,U.S,2019-02-20
Total Intermodal Units,"273,679",-2.1%,"273,679",-2.1%,0.5%,U.S,2019-02-20
Total Traffic,"523,915",-3.0%,"523,915",-3.0%,0.3%,U.S,2019-02-20
Total Carloads,"73,275",2.2%,"73,275",2.2%,5.2%,Canadian,2019-02-20
Chemicals,"11,633",-4.6%,"11,633",-4.6%,5.1%,Canadian,2019-02-20
Coal,"6,287",-3.6%,"6,287",-3.6%,13.7%,Canadian,2019-02-20
"Farm Products excl. Grain, and Food","5,525",-5.6%,"5,525",-5.6%,4.4%,Canadian,2019-02-20
Forest Products,"6,496",3.2%,"6,496",3.2%,-0.3%,Canadian,2019-02-20
Grain,"7,833",7.9%,"7,833",7.9%,2.6%,Canadian,2019-02-20
Metallic Ores and Metals,"15,310",12.1%,"15,310",12.1%,5.0%,Canadian,2019-02-20
Motor Vehicles and Parts,"5,475",3.6%,"5,475",3.6%,3.7%,Canadian,2019-02-20
Nonmetallic Minerals,"5,682",-5.3%,"5,682",-5.3%,-11.9%,Canadian,2019-02-20
Petroleum and Petroleum Products,"7,645",6.5%,"7,645",6.5%,23.5%,Canadian,2019-02-20
Other,"1,389",-4.2%,"1,389",-4.2%,-3.1%,Canadian,2019-02-20
Total Intermodal Units,"62,783",-5.1%,"62,783",-5.1%,0.6%,Canadian,2019-02-20
Total Traffic,"136,058",-1.3%,"136,058",-1.3%,3.1%,Canadian,2019-02-20
Total Carloads,"20,763",-3.9%,"20,763",-3.9%,-9.9%,Mexican,2019-02-20
Chemicals,"1,009",4.6%,"1,009",4.6%,-5.0%,Mexican,2019-02-20
Coal,89,-41.1%,89,-41.1%,3.1%,Mexican,2019-02-20
"Farm Products excl. Grain, and Food","2,323",7.1%,"2,323",7.1%,-12.8%,Mexican,2019-02-20
Forest Products,24,-38.5%,24,-38.5%,-49.1%,Mexican,2019-02-20
Grain,"2,459",32.8%,"2,459",32.8%,0.2%,Mexican,2019-02-20
Metallic Ores and Metals,"4,242",-18.4%,"4,242",-18.4%,-8.3%,Mexican,2019-02-20
Motor Vehicles and Parts,"4,472",-2.2%,"4,472",-2.2%,-14.3%,Mexican,2019-02-20
Nonmetallic Minerals,"3,999",-6.6%,"3,999",-6.6%,-6.6%,Mexican,2019-02-20
Petroleum and Petroleum Products,"1,016",-20.1%,"1,016",-20.1%,-31.6%,Mexican,2019-02-20
Other,"1,130",2.4%,"1,130",2.4%,-5.9%,Mexican,2019-02-20
Total Intermodal Units,"17,293",-2.6%,"17,293",-2.6%,-11.5%,Mexican,2019-02-20
Total Traffic,"38,056",-3.3%,"38,056",-3.3%,-10.6%,Mexican,2019-02-20
